rule;n;passed;failed;pass_rate
rule_E1;559;559;0;1.0
rule_E2;559;559;0;1.0
rule_E3;559;559;0;1.0
rule_E4;559;559;0;1.0
rule_E4_1;559;559;0;1.0
rule_E4_2;559;559;0;1.0
rule_E5;559;559;0;1.0
rule_E6;559;559;0;1.0
rule_E7;559;559;0;1.0
rule_E8;559;559;0;1.0
rule_E9;559;559;0;1.0
rule_S1;559;559;0;1.0
rule_S2;559;559;0;1.0
rule_S4;559;559;0;1.0
rule_S5;559;559;0;1.0
