head;count
L3_H8;326
L5_H11;326
L4_H8;326
L5_H9;326
L3_H3;326
L2_H5;326
L2_H4;326
L3_H6;326
L4_H2;326
L5_H3;326
L7_H10;326
L7_H4;326
L9_H7;326
L10_H3;326
L8_H11;326
L7_H9;326
L8_H6;326
L11_H1;326
L11_H11;326
L11_H8;326
